timestamp,date_GMT,status,date,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1628546400,Aug 09 2021 - 10:00pm,complete,9/08/2021,N/A,León Women,Mazatlán W,N/A,4,0,0,0.82,0.18,5,0,5,4,4,0,"17,22,33,4504,87",,8,2,3,0,3,0,1,2,3,0,11,4,9,2,2,2,22,6,48,52,1.8,0.68,2,0,100,0,0,0,0,75,25,100,2,2,1.71,3.4,3.45,1.25,1.71,2.7,4.65,1.71,1.87,Estadio León (Nou Camp) (León de los Aldamas)
1628553600,Aug 10 2021 - 12:00am,complete,10/08/2021,N/A,América Women,Toluca Women,N/A,4,3,0,2.1,1.12,1,3,4,0,0,0,77,"82,86,88",9,0,2,1,2,0,0,3,1,1,17,6,6,5,11,1,8,9,70,30,2.25,0.91,2.5,25,100,50,0,0,50,50,50,100,8,2.5,1.34,4.2,6,1.22,1.61,2.45,4.05,1.77,1.8,Estadio Azteca (Ciudad de México (D.F.))
1628553600,Aug 10 2021 - 12:00am,complete,10/08/2021,N/A,Monterrey Women,Puebla Women,N/A,4,3,0,2.73,0.53,2,0,2,1,1,0,"19,67",,7,3,0,0,1,0,0,0,0,1,15,7,5,4,10,3,-1,-1,50,50,1.99,1.06,2.5,0,100,50,0,0,50,50,0,50,3,0,1.25,4.7,8.25,1.13,1.4,2,3.2,1.77,1.8,Estadio BBVA (Guadalupe)
1628560800,Aug 10 2021 - 2:00am,complete,10/08/2021,N/A,Tijuana Women,Querétaro Women,N/A,4,3,0,1.68,0.82,1,1,2,2,1,1,31,19,5,4,1,0,1,0,1,0,0,1,16,3,6,2,10,1,5,6,66,34,2.02,0.61,2.5,50,100,50,0,0,0,50,100,100,10,2,1.8,3.25,3.25,1.27,1.77,2.8,4.9,1.71,1.83,Estadio Caliente (Tijuana)
1628560800,Aug 10 2021 - 2:00am,complete,10/08/2021,N/A,Juárez W,Guadalajara Women,N/A,4,0,1,0.47,1.71,1,2,3,1,1,0,4503,"55,74",1,5,2,0,0,0,2,0,0,0,5,10,3,6,2,4,13,11,39,61,0.94,1.71,2,50,75,25,0,0,25,75,0,100,10,1,9,5.25,1.21,1.15,1.47,2.2,3.7,2,1.61,Estadio Olímpico Benito Juárez (Ciudad Juárez)
1628892000,Aug 13 2021 - 10:00pm,complete,13/08/2021,N/A,Querétaro Women,León Women,N/A,5,0.5,0,1.18,0.76,1,1,2,1,1,0,2,48,0,3,0,0,1,0,0,0,0,1,5,10,2,5,3,5,-1,-1,51,49,0.85,1.51,3.25,100,100,75,50,0,25,100,75,75,6.5,5,2.08,3.44,3.24,1.26,1.88,2.75,4.8,1.77,1.8,Estadio La Corregidora (Santiago de Querétaro)
1628902800,Aug 14 2021 - 1:00am,complete,14/08/2021,N/A,Mazatlán W,Monterrey Women,N/A,5,0,2,0.94,1.95,0,3,3,2,0,2,,"27,4505,79",2,8,0,0,2,0,0,0,0,2,3,22,3,12,0,10,-1,-1,49,51,0.68,2.95,2.25,25,100,25,0,0,25,75,25,75,5,2.5,13,6.5,1.14,1.11,1.35,1.91,3.05,1.95,1.62,Estadio de Mazatlán (Mazatlán)
1628960400,Aug 14 2021 - 5:00pm,complete,14/08/2021,N/A,Toluca Women,Juárez W,N/A,5,1.5,0,1.12,0.47,1,1,2,0,0,0,49,63,4,3,0,0,1,0,0,0,0,1,18,6,8,2,10,4,18,13,49,51,2.11,0.89,2.5,25,75,25,25,25,25,25,25,50,2.5,0.5,1.47,3.15,6.5,1.31,1.87,3,5.5,1.91,1.67,Estadio Nemesio Díez (Toluca de Lerdo)
1629041400,Aug 15 2021 - 3:30pm,complete,15/08/2021,N/A,Guadalajara Women,Necaxa Women,N/A,5,3,0.5,2.43,0.88,6,0,6,3,3,0,"5,28,39,51,69,87",,10,2,1,0,1,0,1,0,1,0,21,2,14,2,7,0,-1,-1,50,50,2.7,0.49,4.25,50,75,75,50,50,50,75,75,75,7.5,1,1.09,8,18,1.11,1.35,1.83,2.9,2.25,1.47,Instalaciones de Verde Valle (Guadalajara)
1629046800,Aug 15 2021 - 5:00pm,complete,15/08/2021,N/A,Puebla Women,Cruz Azul Women,N/A,5,3,3,1.24,1.11,3,0,3,1,1,0,"23,65,9003",,5,6,3,0,2,1,1,2,1,2,13,13,9,2,4,11,-1,-1,50,50,1.98,1.56,2,25,50,25,25,0,0,50,50,75,8.5,1.5,2.5,2.85,2.35,1.31,1.87,2.95,5.25,1.69,1.87,Estadio Cuauhtémoc (Puebla)
