,Season,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HY,AY,HR,AR,HO,AO,OddH,OddD,OddA,Margin,ProbH,ProbD,ProbA
45,2000-2001,E0,2000-09-09,Middlesbrough,Everton,1.0,2.0,A,1.0,0.0,H,Steve Bennett,9.0,12.0,5.0,9.0,16.0,5.0,3.0,0.0,0.0,0.0,6.0,7.0,2.0,3.3,3.2,0.038510101010100994,0.461489898989899,0.26452020202020204,0.273989898989899
46,2000-2001,E0,2000-09-09,Newcastle,Chelsea,0.0,0.0,D,0.0,0.0,D,Graham Poll,10.0,10.0,4.0,3.0,17.0,21.0,0.0,3.0,0.0,0.0,4.0,6.0,2.35,3.25,2.6,0.03927986906710309,0.38625204582651396,0.26841243862520464,0.3453355155482815
47,2000-2001,E0,2000-09-10,Derby,Charlton,2.0,2.0,D,2.0,0.0,H,Peter Jones,12.0,10.0,6.0,6.0,17.0,12.0,3.0,1.0,0.0,0.0,0.0,3.0,2.0,3.3,3.2,0.038510101010100994,0.461489898989899,0.26452020202020204,0.273989898989899
48,2000-2001,E0,2000-09-11,Tottenham,West Ham,1.0,0.0,H,0.0,0.0,D,Steve Dunn,15.0,11.0,7.0,5.0,14.0,13.0,1.0,2.0,0.0,0.0,2.0,7.0,1.85,3.3,3.7,0.03794703794703791,0.5025935025935026,0.26508326508326513,0.23232323232323232
49,2000-2001,E0,2000-09-16,Arsenal,Coventry,2.0,1.0,H,1.0,0.0,H,Mike Dean,18.0,6.0,13.0,2.0,5.0,13.0,1.0,2.0,0.0,0.0,3.0,0.0,1.25,4.8,9.0,0.039814814814814824,0.7601851851851852,0.1685185185185185,0.07129629629629627
50,2000-2001,E0,2000-09-16,Aston Villa,Bradford,2.0,0.0,H,1.0,0.0,H,Rob Styles,12.0,8.0,7.0,4.0,8.0,12.0,0.0,2.0,0.0,0.0,10.0,10.0,1.53,3.8,5.0,0.03891755532622406,0.614677215915606,0.22424033941061802,0.16108244467377594
51,2000-2001,E0,2000-09-16,Charlton,Tottenham,1.0,0.0,H,1.0,0.0,H,Jeff Winter,9.0,10.0,5.0,5.0,8.0,10.0,0.0,0.0,0.0,0.0,3.0,2.0,2.6,3.3,2.3,0.04080943211377989,0.3438059525016047,0.26222087091652313,0.3939731765818723
52,2000-2001,E0,2000-09-16,Everton,Man United,1.0,3.0,A,0.0,3.0,A,Dermot Gallagher,6.0,17.0,4.0,9.0,10.0,11.0,4.0,1.0,0.0,0.0,12.0,4.0,4.4,3.4,1.66,0.04126667096192257,0.1860060563108047,0.252850976096901,0.5611429675922943
53,2000-2001,E0,2000-09-16,Leeds,Ipswich,1.0,2.0,A,1.0,1.0,D,Mark Halsey,11.0,12.0,6.0,7.0,12.0,19.0,1.0,3.0,0.0,0.0,6.0,0.0,1.35,3.9,8.0,0.04071699905033236,0.7000237416904084,0.2156932573599241,0.08428300094966765
54,2000-2001,E0,2000-09-16,Southampton,Newcastle,2.0,0.0,H,0.0,0.0,D,Barry Knight,13.0,10.0,9.0,7.0,14.0,14.0,0.0,0.0,0.0,0.0,4.0,4.0,2.75,3.35,2.2,0.03889642695612842,0.3247399366802352,0.2596110357304387,0.4156490275893261
